display_name,alias_first,alias_last,alias_query
Gabe Vasquez,Gabriel,Vasquez,
Jeff Jackson,Jeffrey,Jackson,
Josh Riley,Joshua,Riley,
Marie Gluesenkamp Perez,,,Marie Gluesenkamp Perez
Marie Gluesenkamp Perez,,,Marie Gluesenkamp-Perez
Marie Gluesenkamp Perez,,,Marie Perez
Mikie Sherrill,,,Mikie Sherrill
Mikie Sherrill,Rebecca,Sherrill,
Maggie Goodlander,Margaret,Goodlander,
Buffy Wicks,,,Buffy Wicks
Sandra Jauregui,,,Sandra Jauregui
Kristen McDonald Rivet,,,Kristen McDonald Rivet
Cavalier Johnson,,,Cavalier Johnson
